,c1
6361,heres violent whole family enjoy
6362,monkey ends minutes action n character pth crouching tiger international sensation see punchouts way see riverdance stomping
6363,action fans like kung fu period costume blood likely think theyve struck motherlo
6364,strength lies fight sequences
6365, happens ridiculously predictable
6366,while story characterizations weak
6367,wooping unembarrassed hokiness narrative unending combat enactments
6368,some fighting par
6369,an absolutely terrible 
6370,the problem jokes flat day old coke
6371,mchales navy would floated programming ballast night nerk tv
6372,the idiotic
6373,apologies handful americans whove waited cas bigscreen update s sitcomthe result awful awfully irrelevant
6374,hundreds screen technicians obviously slaved effects what dopey subplot bogus arrest soap opera involving j injured daughter
6375,want pay watch imitate cnn
6376,ridiculous script mediocre special effects mar ludicrous disaster pic
6377,these  ly
6378, pure disaster ever not competition congratulations director mick jackson job 
6379,volcano embarrassment
6380,its basic disaster scenario tragedy strikes
6381,mean n seriously
6382,premillennium tension still explanation recent tidal wave disaster which less boring
6383,volcano really ahead time time still caught up volcano thought ways stop lava going give la cast tommy lee j chief emergency services ask run
6384,doesnt build strong relationships characters
6385,diehard romantics likely come away disappointed
6386,nasty
6387,a tense
6388, version crime saga
6389,refusing ever d
6390,a exceptional viciousness mordant humor
6391, brutal rge stories time
6392,outdated s crime thriller blood sex
6393, special effects computer enhancements
6394,theres some bit dull gives leisure wonr whats traveller terrible excommunicated
6395,fourth gigantic series second director joel schumacher also fourth worst series and second worst joel
6396, think
6397,many villains many heroes clutter headacheinducing
6398,insults viewers intelligence lifeless acting tired script
6399,truly awful script misguid direction
6400,example worst type corporate making
6401,fans series shocked shortage original thought put project
6402,batman robins bickering mr freezes lame liners betray schumachers lack faith source material overreliance hollywood action cliches
6403,an abhorrent waste celluloid
6404,im going beat around bush here 
6405,repetitive
6406,title managed kill mornday batman 
6407,burtons batman capable snapping criminal spine schumachers sissy lib believes remption
6408,schumachers intention appears some awful
6409,fourth morn batman features perhaps worst screenplay least worst dialogue ever written
6410,fourth batflick finds juvenile franchise running empty
6411,the villains
6412,franchise gotten aggressively unsatisfying
6413,among worst wirelease s
6414,in terms new twists narrative momentum poison ivy
6415,batman robin kill popular series
6416,the fourth installment lucrative batman series weakest yet
6417,batman robin any screen year
6418,predictably dismal popoperatic guff
6419,noisy
6420,bring earplugs batman robin pair noseplugs hurt
6421,batman robin fourth series also finally kills franchise putting batman misery
6422,perhaps disheartening fact character fies gravity
6423,terrifying presses right buttons early capitalizes vulnerability
6424,an incredibly tense
6425,the  feel sick
6426,a fairly taut thriller gets gear stealing parts duel
6427,mostow is able sustain nightmarish reality gripping chilling
6428,its silly suspend disbelief
6429,kurt russells lack energy afflicts  directors lack ias
6430,dabbles horror tricks actir clichés weaken momentum
6431,not watchable freakish fines lowbrow
6432,true pigtail tale still 
6433,pressingly mediocre 
6434,joyri plows crime flick checklist unsavory characters rote plot divergences dreary efficiency
6435,oekerks screenplay serious ambitions
6436,embarrassing robbins
6437, melting poor mind
6438,in making horribly 
6439,kill
6440, purpose goes far rs sense humor irony
6441,most notable eroticized rape scene actress shannon elizabeth tub
6442, bright moments
6443,george jungle unsophisticated
6444,this aint perfect
6445,as dumb georges iq low
6446,stupid
6447,amiable toothless
6448,not quite inspired lunacy
6449,since hollywood livered serious science fiction drama
6450,there right  wrong
6451,a wants n seriously yet frequently stumbles dull
6452,while qualify awful waste space means
6453,although could worse jodie fosters face reflect secret universe
6454,when tries personify struggle skepticism faith relationship ellie theologian boyfriend
6455,rare find sciencefiction interested ias scary critters
6456, computer generated graphics fit
6457,hating dimensional villain audience feels found the guy challenged consir flimsiness arroways josses perspectives
6458,if contact disappointingly soft head
6459, lineage impressive special effects
6460,zemeckis alien getting touch feelings lost byte magic throughout years foster impeccable full review spanish
6461,it contains no lingering interest hand
6462,the concept 
6463,sappiness excruciating sentimentality weighs down
6464,entitled miss lord knows shaq is
6465,shaq hate us 
6466,could worse shaq could rapping
6467,not 
6468,seagals action scenes id nobody ever lays finger him gets boring
6469,there know cant 
6470,unless market boredom
6471,my favorite exchangejoseph i cant come maria too 
6472,times ending seriously damage motion picture those
6473,its shame plot contrived
6474,the stink mediocrity upon 
6475,not quite  call rancid
6476,tired s romcom filled ception
6477,game  mess mind since usual suspects
6478,its  sense stop think
6479,douglas disintegrates beautifully pressure constant unknown threat
6480, message complacency transformed chaos uncertainty hackneyed
6481,the game thrilling end run ception master manipulator masterfully manipulated
6482,regardless far chooses buy game ending ambiguously suggests could go doubt finchers staggering expertise director almost clinical sense precision
6483,engaging s thriller lots violence
6484,the plausibility whole ludicrously farfetched
6485, conspiracy thriller plenty action scenes way tension excitement
6486,the terrible might think 
6487,
6488,wanted idiotic entertainment skill
6489,not screenplay wanted laughably absurd
6490,weak action  thrills elevate totally average story
6491,nonformula spy thriller glitz romanticism usually associated genre
6492,explores theme nuclear terrorism zest momentum
6493,ler tries bring sense grief bodycounthappy genre
6494,sidney poitier splsshy screen but mankiewiczs oscarnominated liberal message racism
6495,the violence climax bit wilyed sustain full belief sober message
